Movie Title,Actors,Director,Rating
Drishyam,"[' Ajay Devgn', ' Shriya Saran']",['Nishikant Kamat (dir.)'],8.0
The Help,"[' Emma Stone', ' Viola Davis']",['Tate Taylor (dir.)'],8.0
Contratiempo,"[' Mario Casas', ' Ana Wagener']",['Oriol Paulo (dir.)'],8.0
The Princess Bride,"[' Cary Elwes', ' Mandy Patinkin']",['Rob Reiner (dir.)'],8.0
The Terminator,"[' Arnold Schwarzenegger', ' Linda Hamilton']",['James Cameron (dir.)'],8.0
La battaglia di Algeri,"[' Brahim Hadjadj', ' Jean Martin']",['Gillo Pontecorvo (dir.)'],8.0
Kumonosu-jô,"[' Toshirô Mifune', ' Minoru Chiaki']",['Akira Kurosawa (dir.)'],8.0
Aladdin,"[' Scott Weinger', ' Robin Williams']",['Ron Clements (dir.)'],8.0
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","[' Megumi Ogata', ' Megumi Hayashibara']",['Hideaki Anno (dir.)'],8.0
PK,"[' Aamir Khan', ' Anushka Sharma']",['Rajkumar Hirani (dir.)'],8.0
